mode,type,n,accuracy,ci95_lo,ci95_hi
ADAPTIVERAG,open,1,0.0,0.0,0.7935
ADAPTIVERAG,recall,1,0.0,0.0,0.7935
BASE,open,1,0.0,0.0,0.7935
BASE,recall,1,0.0,0.0,0.7935
MEM,open,1,0.0,0.0,0.7935
MEM,recall,1,0.0,0.0,0.7935
MEMSYM,open,1,0.0,0.0,0.7935
MEMSYM,recall,1,0.0,0.0,0.7935
RAG_BASE,open,1,0.0,0.0,0.7935
RAG_BASE,recall,1,0.0,0.0,0.7935
RL,open,1,0.0,0.0,0.7935
RL,recall,1,0.0,0.0,0.7935
ROUTER,open,1,0.0,0.0,0.7935
ROUTER,recall,1,0.0,0.0,0.7935
SYM,open,1,0.0,0.0,0.7935
SYM,recall,1,0.0,0.0,0.7935
SYM_ONLY,open,1,0.0,0.0,0.7935
SYM_ONLY,recall,1,0.0,0.0,0.7935
