mode,domain,avg_cost_retrieval_calls,avg_cost_rule_checks,avg_cost_tokens_in,avg_cost_tokens_out,avg_latency_ms,avg_n_steps
ADAPTIVERAG,battery,0.9317757009345794,0.07850467289719626,283.90280373831774,24.34766355140187,7560.487719626169,2.0
ADAPTIVERAG,lexmark,0.9177350427350427,0.0876068376068376,277.3162393162393,24.206196581196583,7484.816559829061,2.0
ADAPTIVERAG,viessmann,0.9458889669711876,0.07519325368938862,298.55657062543924,28.094869992972594,7609.756465214336,2.0
BASE,battery,0.0,0.0,0.0,0.0,1.2125981308411216,1.0
BASE,lexmark,0.0,0.0,0.0,0.0,1.1982905982905983,1.0
BASE,viessmann,0.0,0.0,0.0,0.0,1.2371328179901617,1.0
MEM,battery,0.28785046728971964,0.0,0.0,0.0,381.1411308411215,1.0
MEM,lexmark,0.1955128205128205,0.0,0.0,0.0,387.91887820512824,1.0
MEM,viessmann,0.4075895994378074,0.0,0.0,0.0,374.4889599437808,1.0
MEMSYM,battery,0.28785046728971964,0.07850467289719626,0.0,0.0,8.426869158878505,1.0785046728971963
MEMSYM,lexmark,0.1955128205128205,0.0876068376068376,0.0,0.0,7.625117521367522,1.0876068376068375
MEMSYM,viessmann,0.4075895994378074,0.07519325368938862,0.0,0.0,9.82702740688686,1.0751932536893887
RAG_BASE,battery,1.0,0.0,352.6448598130841,25.09626168224299,8295.365822429907,2.0
RAG_BASE,lexmark,1.0,0.0,368.83440170940173,25.629273504273506,8115.928707264957,2.0
RAG_BASE,viessmann,1.0,0.0,363.0829234012649,28.76809557273366,8377.900098383696,2.0
RL,battery,0.0,0.0,0.0,0.0,15.99829906542056,1.4289719626168225
RL,lexmark,0.0,0.0,0.0,0.0,16.889326923076922,1.7286324786324787
RL,viessmann,0.0,0.0,0.0,0.0,17.110597329585385,1.4813773717498244
ROUTER,battery,0.0,0.07850467289719626,0.0,0.0,731.5946635514019,1.0
ROUTER,lexmark,0.0,0.0876068376068376,0.0,0.0,723.3395085470086,1.0
ROUTER,viessmann,0.0,0.07519325368938862,0.0,0.0,717.2458116654955,1.0
SYM_ONLY,battery,0.0,0.07850467289719626,0.0,0.0,2.284831775700934,1.0
SYM_ONLY,lexmark,0.0,0.0876068376068376,0.0,0.0,2.2517521367521365,1.0
SYM_ONLY,viessmann,0.0,0.07519325368938862,0.0,0.0,2.77328882642305,1.0
