domain,mode,baseline,risk_reduction@0.3,risk_reduction@0.5,risk_reduction@0.7,aurc_delta,utility_delta
battery,ADAPTIVERAG,RAG_BASE,0.07570093457943927,1.0,1.0,0.5373657087955279,0.07570093457943927
battery,BASE,RAG_BASE,-0.9009345794392524,0.0,0.0,-0.44158878504672905,-0.7331775700934581
battery,MEM,RAG_BASE,-0.38037383177570094,0.0,0.0,0.22401679868959962,-0.23037383177570103
battery,MEMSYM,RAG_BASE,-0.30654205607476637,1.0,1.0,0.4149942194862117,-0.16831775700934587
battery,RL,RAG_BASE,-0.0018691588785046953,0.8515406162464986,0.8007736943907157,0.15892137841404247,0.08378504672897191
battery,ROUTER,RAG_BASE,-0.8216144661248048,1.0,1.0,0.08139064806926727,-0.6630841121495328
battery,SYM_ONLY,RAG_BASE,-0.8046728971962617,1.0,1.0,0.09388505546335923,-0.6546728971962618
lexmark,ADAPTIVERAG,RAG_BASE,0.08440170940170943,1.0,1.0,0.5416940609248302,0.08440170940170932
lexmark,BASE,RAG_BASE,-0.9027777777777778,0.0,0.0,-0.4455128205128205,-0.7410256410256411
lexmark,MEM,RAG_BASE,-0.5267094017094017,0.0,0.0,0.18979393230654273,-0.3767094017094018
lexmark,MEMSYM,RAG_BASE,-0.4412393162393162,1.0,1.0,0.35170734714003954,-0.3043803418803419
lexmark,RL,RAG_BASE,-0.0010683760683760646,0.895712630359212,0.8796791443850267,0.050544011110463694,0.039636752136751996
lexmark,ROUTER,RAG_BASE,-0.814033189033189,1.0,1.0,0.08332274918813387,-0.6534188034188035
lexmark,SYM_ONLY,RAG_BASE,-0.8034188034188035,1.0,1.0,0.09393833552487402,-0.6534188034188035
viessmann,ADAPTIVERAG,RAG_BASE,0.07449051300070275,1.0,1.0,0.5381884994486227,0.07449051300070275
viessmann,BASE,RAG_BASE,-0.8910751932536893,0.0,0.0,-0.43569922698524244,-0.7213984539704847
viessmann,MEM,RAG_BASE,-0.3246661981728741,0.0,0.0,0.19868498467935036,-0.1746661981728741
viessmann,MEMSYM,RAG_BASE,-0.24947294448348556,1.0,1.0,0.4449798060567211,-0.1107519325368938
viessmann,RL,RAG_BASE,0.0,0.8926788685524126,0.8322496749024707,0.15370017228810473,0.0777933942375264
viessmann,ROUTER,RAG_BASE,-0.8156699783135907,1.0,1.0,0.08803418121115486,-0.6630709768095572
viessmann,SYM_ONLY,RAG_BASE,-0.7962052002810962,1.0,1.0,0.09833060813490258,-0.6462052002810962
pooled,ADAPTIVERAG,RAG_BASE,0.07757363662875472,1.0,1.0,0.5396393838055166,
pooled,BASE,RAG_BASE,-0.8973461650627005,0.0,0.0,-0.44021580635753876,
pooled,MEM,RAG_BASE,-0.3972003499562554,0.0,0.0,0.20439218348103028,
pooled,MEMSYM,RAG_BASE,-0.3196267133275007,1.0,1.0,0.41260944832250074,
pooled,RL,RAG_BASE,-0.0008748906386701893,0.8830514573587621,0.8416912487708947,0.12860044959841344,
pooled,ROUTER,RAG_BASE,-0.8170992514824535,1.0,1.0,0.08466108427415758,
pooled,SYM_ONLY,RAG_BASE,-0.8008165645960922,1.0,1.0,0.09574911330892616,
