mode,type,n,acc,ci_lo,ci_hi
ADAPTIVERAG,logic,871,0.0057,0.0011,0.0115
BASE,logic,871,0.0034,0.0,0.008
MEM,logic,871,0.0057,0.0011,0.0115
MEMSYM,logic,871,0.0057,0.0011,0.0115
RL,logic,871,0.0057,0.0011,0.0115
ROUTER,logic,871,0.0057,0.0011,0.0115
SYM,logic,871,0.0,0.0,0.0
ADAPTIVERAG,open,523,0.0057,0.0,0.0134
BASE,open,523,0.0,0.0,0.0
MEM,open,523,0.0057,0.0,0.0134
MEMSYM,open,523,0.0057,0.0,0.0134
RL,open,523,0.0057,0.0,0.0134
ROUTER,open,523,0.0057,0.0,0.0134
SYM,open,523,0.0019,0.0,0.0057
ADAPTIVERAG,recall,1840,0.063,0.0522,0.0745
BASE,recall,1840,0.0,0.0,0.0
MEM,recall,1840,0.063,0.0522,0.0745
MEMSYM,recall,1840,0.0636,0.0527,0.075
RL,recall,1840,0.0272,0.0201,0.0353
ROUTER,recall,1840,0.063,0.0522,0.0745
SYM,recall,1840,0.0005,0.0,0.0016
